city,自然风光,历史文化,主题乐园,城市观光,美食文化,海滨休闲,休闲康养,户外运动,宗教信仰,节庆民俗,province,pinyin,abbr,latitude,longitude
白山市,长白山天池（中国最高、最大的火山口湖，湖水清澈碧蓝，四周群山环绕，景色壮丽）/长白瀑布（长白山著名瀑布，落差达68米，水流湍急，气势磅礴）/望天鹅风景区（以奇特的火山地貌和原始森林景观著称，是摄影爱好者的天堂）/长白山地下森林（罕见的火山口地下森林，植被茂密，空气清新）,长白山满族文化博物馆（展示满族历史文化的专题博物馆，藏品丰富）,,,,,长白山国际度假区（集滑雪、温泉、度假于一体的综合性旅游度假区）/长白山温泉（富含矿物质的天然温泉，具有养生保健功效）,长白山滑雪场（中国著名的滑雪胜地，雪质优良，设施完善）/长白山徒步线路（多条徒步线路穿越原始森林，适合不同难度需求的徒步爱好者）,,长白山民俗村（体验满族传统民俗文化，参与特色节庆活动）,吉林省,baishanshi,bss,41.943972,126.41473
梅河口市,五奎山风景名胜区（梅河口市西南部，以山水景观为主，拥有丰富的植被和清新的空气，是休闲登山的好去处。）,梅河口市博物馆（梅河口市中心，展示梅河口市的历史文化、民俗风情和自然遗产，是了解当地文化的重要窗口。）,,梅河口市人民公园（梅河口市中心，城市中心的大型公园，环境优美，设施齐全，是市民休闲娱乐的主要场所。）,梅河口夜市（梅河口市商业区，汇集了各种地方特色小吃，是品尝当地美食的热门地点。）,,,梅河口市滑雪场（梅河口市郊区，冬季滑雪胜地，提供多种滑雪项目和设施，适合滑雪爱好者。）,龙泉寺（梅河口市龙泉山，历史悠久的佛教寺庙，环境清幽，是信众朝拜和游客参观的圣地。）,梅河口市春节庙会（梅河口市主要街道，每年春节期间举办的传统庙会，有丰富的民俗表演和特色小吃，热闹非凡。）,吉林省,meihekoushi,mhks,42.63831,125.83342
苏州市,太湖湿地公园（太湖沿岸生态湿地，观鸟、赏花、亲近自然的绝佳去处）/穹窿山（苏州最高峰，森林覆盖率高，适合登山徒步）,拙政园（中国四大名园之一，以水景为主，亭台楼阁错落有致，展现江南园林艺术精华）/虎丘（吴中第一名胜，拥有虎丘塔、剑池等古迹，融合自然与人文景观）/周庄古镇（中国第一水乡，保存完好的明清建筑群，小桥流水人家风貌）/苏州博物馆（贝聿铭设计，现代建筑与苏州传统风格的完美结合，馆藏丰富文物）/狮子林（以假山闻名，迷宫般的石林设计展现元代园林特色）,苏州乐园（大型综合性游乐园，适合家庭游玩，有过山车等刺激项目）,金鸡湖（现代城市湖泊景观，拥有音乐喷泉、摩天轮等地标，夜景迷人）/平江路（保存最完整的古街区之一，沿河而建，展现老苏州风貌）/观前街（苏州著名商业步行街，集购物、美食、娱乐于一体）,山塘街（千年古街，汇聚苏式小吃和传统美食，夜晚灯火璀璨）/阳澄湖（大闸蟹原产地，秋季品蟹胜地，湖景餐厅众多）,,苏州湾温泉（天然温泉度假区，结合太湖景观，提供养生休闲体验）,东山徒步线路（环太湖徒步路线，沿途可欣赏湖光山色和古村落）,寒山寺（唐代古寺，因《枫桥夜泊》闻名，钟声祈福文化深厚）/玄妙观（江南著名道观，始建于西晋，三清殿为宋代建筑珍品）,,江苏省,suzhoushi,szs,31.2974,120.585728
无锡市,鼋头渚（太湖第一名胜，以樱花谷和太湖湖光山色闻名）/蠡园（太湖边古典园林，以范蠡西施传说和四季花展著称）/梅园（荣氏家族园林，江南著名赏梅胜地）/雪浪山生态园（太湖第一峰，春季薰衣草花海景观）/长广溪湿地公园（国家级城市湿地公园，观鸟摄影胜地）,惠山古镇（保存完好的明清古建筑群，江南祠堂文化集中地）/南禅寺（南朝四百八十寺之一，寺前美食文化步行街）/东林书院（明代著名书院，顾宪成故居及'风声雨声读书声'典故地）/无锡博物院（吴王剑、倪瓒书画等镇馆之宝）/荡口古镇（小桥流水人家格局，华氏义庄等文保单位）,三国水浒影视城（央视影视拍摄基地，三国水浒实景表演）/无锡融创乐园（大型综合主题乐园，含水上世界和雪世界）/太湖欢乐园（动物园与游乐设施结合的亲子乐园）,清名桥古运河（世界文化遗产京杭大运河段，典型江南水弄堂风貌）/崇安寺步行街（市中心千年古寺遗址改造的现代商业区）/无锡大剧院（太湖边'蝴蝶'造型现代建筑艺术地标）,,,拈花湾禅意小镇（唐风禅意度假小镇，夜间灯光演艺秀）,,灵山大佛（世界级佛教圣地，88米高青铜大佛及梵宫建筑群）,,江苏省,wuxishi,wxs,31.491169,120.31191
常州市,天目湖（以湖光山色和清新空气著称，拥有丰富的自然景观和生态资源。）/南山竹海（万亩竹林形成的绿色海洋，空气清新，是避暑胜地。）/茅山（道教名山，风景秀丽，兼具自然与宗教文化特色。）,青果巷（常州历史文化街区，保留了大量明清建筑和名人故居。）/常州博物馆（展示常州历史文化和自然资源的综合性博物馆。）/东方盐湖城（以道教文化为主题的古镇，融合了盐文化和山水景观。）,中华恐龙园（以恐龙为主题的大型游乐园，集科普、娱乐、休闲于一体。）/淹城春秋乐园（以春秋文化为主题的乐园，结合历史与现代娱乐设施。）/环球恐龙城（以恐龙为主题的大型综合旅游度假区，包含多个娱乐项目。）/常州淹城野生动物世界（以野生动物观赏和互动体验为主题的动物园。）,红梅公园（常州市中心的大型城市公园，以红梅阁和文笔塔为标志性建筑。）/常州古运河（沿古运河而建的观光带，展现了常州的历史风貌和现代城市景观。）,常州三堡街美食街（汇集了常州本地特色小吃和餐饮，是品尝地道美食的好去处。）,,常州恐龙谷温泉（结合恐龙主题的温泉度假区，提供多种养生温泉体验。）,,天宁禅寺（常州著名的佛教寺庙，拥有千年历史，寺内天宁宝塔为地标建筑。）,,江苏省,changzhoushi,czs,31.811226,119.974061
扬州市,瘦西湖（中国著名的湖上园林，以"瘦"为美，湖面蜿蜒曲折，两岸绿树成荫，四季景色各异）/茱萸湾风景区（古运河转弯处的生态公园，以茱萸树和野生动物园为特色）/马可波罗花世界（以花卉为主题的大型乐园，呈现世界各地的园艺景观）,个园（中国四大名园之一，以竹石取胜，园内四季假山堪称一绝）/何园（晚清第一园，中西合璧的建筑风格，复道回廊的设计独具匠心）/扬州双博馆（包含扬州博物馆和中国雕版印刷博物馆，展示扬州悠久的历史文化）/汉陵苑（西汉广陵王墓博物馆，展示"黄肠题凑"式木椁墓的珍贵文物）/扬州八怪纪念馆（纪念清代扬州画派的书画艺术馆，原为八怪之一金农的居所）,,东关街（扬州最具代表性的历史老街，汇聚传统建筑、老字号商铺和地道小吃）/扬州古运河（世界文化遗产，可乘船游览两岸历史风貌，感受"运河第一城"的魅力）,扬州三把刀特色步行街（集中展示扬州厨刀、修脚刀、理发刀的传统技艺与美食文化）/扬州中国淮扬菜博物馆（系统展示淮扬菜发展历程和烹饪技艺的专业博物馆）,,,宋夹城体育休闲公园（依托宋代古城遗址建设的全民健身公园，提供多种运动设施）,大明寺（始建于南朝的古刹，鉴真和尚曾在此弘法，寺内平山堂为欧阳修所建）/天宁寺（清代扬州八大名刹之首，曾为乾隆皇帝南巡行宫）,,江苏省,yangzhoushi,yzs,32.394209,119.412939
徐州市,云龙湖（5A）/云龙山/潘安湖湿地公园/大洞山,彭祖园/徐州博物馆/汉文化景区/龟山汉墓/户部山古民居/淮海战役纪念馆/窑湾古镇,徐州乐园,徐州奥体中心/回龙窝历史文化街区/徐州滨湖公园/徐州音乐厅,,,,,,徐州民俗博物馆,江苏省,xuzhoushi,xzs,34.205768,117.284124
连云港市,花果山（《西游记》发源地，以奇石、云海、古树和神话传说闻名，拥有水帘洞、玉女峰等标志性景观）/海上云台山（山海相依的独特景观，可俯瞰港口全景，以"城中景、港边园、海上山"著称）/渔湾风景区（被称为"江苏九寨沟"，以瀑布、深潭、峡谷景观为主，夏季避暑胜地）/桃花涧（新石器时代石刻岩画所在地，春季桃花遍野，兼具历史价值与自然美景）/大伊山（古称"东海第一胜境"，拥有石佛寺、石刻等人文景观与原始次生林）/云龙涧（原生态峡谷景区，以溪流、瀑布、原始植被构成天然氧吧）,孔望山（汉代摩崖造像所在地，佛教早期传播遗迹，融合儒家文化与佛教艺术）/连云港老街（民国建筑群保存完好，融合中西风格，展现港口开埠历史与市井文化）/东海水晶博物馆（中国规模最大、等级最高的水晶专题博物馆，展示"东海水晶之都"的独特资源）/海州古城（始建于秦汉的千年古城，现存钟鼓楼、朐阳门等遗迹，展现地方历史文脉）/连云港市博物馆（馆藏汉代简牍、凌惠平女尸等珍贵文物，系统展示连云港地区文明发展史）/赣榆抗日山（全国唯一以"抗日"命名的烈士陵园，融合红色教育与自然景观）,,民主路文化街（民国风情商业街，集中展示老字号商铺与近代建筑艺术）,连云港盐河巷（明清风格美食街区，汇聚海鲜排档、地方小吃与夜市文化）,连岛（江苏最大海岛，拥有大沙湾、苏马湾两大优质沙滩，是海滨浴场和度假胜地）/秦山岛（拥有"神路"天然砾石堤奇观，传说为秦始皇登临处，岛上有军事遗迹）/连云港海滨浴场（天然优质沙滩，配备完善的海滨娱乐设施，夏季人气旺盛）,东海温泉（氟型医疗热矿泉，含多种微量元素，具有"华东第一温泉"美誉）,,,,江苏省,lianyungangshi,lygs,34.596653,119.221611
南通市,狼山（长江入海口的名山，佛教圣地，自然与人文景观交融）/濠河风景区（国内保存最完整的古护城河之一，环城水系与园林景观结合）,南通博物苑（中国第一座公共博物馆，张謇创办，集自然与人文展陈于一体）/水绘园（明末清初江南名园，冒辟疆与董小宛隐居地，古典园林典范）,南通森林野生动物园（长三角大型野生动物园，自驾观赏与步行体验结合）/南通探险王国（以科幻探险为主题的游乐园，含大型游乐设施与水上项目）,南通滨江公园（长江沿岸生态公园，观江景、赏夕阳的绝佳地点）/南通钟楼广场（城市地标钟楼，近代建筑代表，周边为繁华商业区）,南通寺街（历史老街汇聚传统小吃，如南通脆饼、火饺、蟹黄包等）,吕四渔港（江苏著名渔港，可体验海鲜美食与渔家文化）,小洋口温泉（深海温泉资源，含多种矿物质，配套度假设施完善）,军山（南通五山之一，适合登山徒步，山顶可俯瞰长江）,广教寺（狼山上的千年古刹，大势至菩萨道场，香火鼎盛）,南通国际风筝节（每年春季举办，中外风筝爱好者竞技，展现特色民俗文化）,江苏省,nantongshi,nts,31.981143,120.894676
淮安市,洪泽湖（中国第四大淡水湖）/铁山寺国家森林公园/第一山国家森林公园,周恩来故里景区/淮安府署/河下古镇/吴承恩故居/淮安博物馆/明祖陵/淮安运河博物馆,淮安龙宫大白鲸世界,清晏园/里运河文化长廊,淮安美食街（软兜长鱼/平桥豆腐）,,,,,盱眙龙虾节,江苏省,huaianshi,has,33.551052,119.113185
盐城市,大丰麋鹿国家级自然保护区（全球最大的麋鹿自然保护区，拥有野生麋鹿种群及滨海湿地生态系统）/中华麋鹿园（近距离观赏麋鹿的生态旅游景区，兼具科普教育功能）/盐城丹顶鹤湿地生态旅游区（世界珍稀鸟类丹顶鹤的越冬地，被誉为"鹤的故乡"）/黄海森林公园（华东地区最大的人工生态林园，森林覆盖率达90%以上）/东台条子泥湿地（世界自然遗产地，东亚-澳大利西亚候鸟迁徙路线的关键补给站）,盐镇水街（以盐文化为主题的仿古街区，再现古代盐商文化风貌）/海盐博物馆（全国唯一展示海盐文明的主题博物馆，系统介绍盐业发展史）/新四军纪念馆（全面展示华中抗战历史的国家级纪念馆，红色旅游经典景区）/安丰古镇（中国历史文化名镇，保存完好的明清古建筑群）,,盐城欧风花街（融合欧洲建筑风格的滨河商业街区，网红打卡地）/盐立方广电塔（城市地标性建筑，360度观景平台俯瞰盐城全景）/盐城聚龙湖公园（城市中心生态公园，拥有音乐喷泉和现代建筑群）,东台鱼汤面馆（百年老字号，以浓白鲜香的鱼汤面闻名）/盐城农民街夜市（汇集盐城本地特色小吃的美食聚集地）,金沙湖旅游度假区（苏北最大的人工沙滩湖景度假区，拥有水上娱乐项目）,大纵湖东晋水城（湖岛度假综合体，融合水乡风情与养生度假功能）,大洋湾生态旅游景区（以樱花闻名的生态运动公园，含骑行、皮划艇等项目）,永宁寺（始建于南宋的佛教古刹，盐城重要的宗教活动场所）,枯枝牡丹园（千年古牡丹观赏地，每年举办牡丹文化节）,江苏省,yanchengshi,ycs,33.347708,120.163107
泰州市,溱湖国家湿地公园（以湿地生态为主题，拥有丰富的动植物资源，是观鸟和自然探索的好去处。）/兴化千垛菜花景区（独特的垛田景观，春季油菜花盛开时尤为壮观。）/泰州秋雪湖生态景区（以湖泊和湿地生态为特色，适合休闲和生态旅游。）,梅兰芳纪念馆（展示京剧大师梅兰芳的生平事迹和艺术成就。）/泰州博物馆（收藏有大量历史文物，展现泰州悠久的历史文化。）/泰州乔园（江南古典园林，历史悠久，建筑精巧。）/溱潼古镇（保存完好的水乡古镇，以古建筑和民俗文化著称。）/泰州海军诞生地纪念馆（纪念中国人民解放军海军诞生的历史性场所。）/泰州高港雕花楼（以精美木雕闻名，是传统建筑艺术的代表。）,,凤城河风景区（集城市景观与历史文化于一体，夜晚灯光秀尤为迷人。）/天德湖公园（城市大型公园，湖光山色，适合休闲散步和家庭出游。）/泰州泰山公园（城市中心公园，内有泰山寺等历史遗迹。）,泰州老街（汇聚泰州传统小吃和特色美食，如黄桥烧饼、溱湖八鲜等。）,,,,泰州光孝寺（历史悠久的佛教寺庙，香火旺盛。）,,江苏省,taizhoushi,tzs,32.455536,119.922933
镇江市,南山国家森林公园/宝华山国家森林公园/金山湖,金山/焦山/北固山/西津渡/镇江博物馆/中国醋文化博物馆/梦溪园/丹阳天地石刻园,,扬中园博园,镇江美食街,,,圌山,茅山,,江苏省,zhenjiangshi,zjs,32.187849,119.425836
宿迁市,洪泽湖湿地（中国第四大淡水湖湿地，生态多样，观鸟胜地）/骆马湖（江苏第四大湖，湖光山色，水上运动丰富）/三台山国家森林公园（森林覆盖率98%，四季花海，天然氧吧）/泗阳平原林海（万亩杨树林海，骑行徒步胜地）,项王故里（西楚霸王项羽出生地，仿汉建筑群，历史文化展示）/皂河古镇（千年运河古镇，乾隆行宫遗址，水乡风貌）/中国杨树博物馆（全球唯一杨树主题博物馆，展示杨树文化）/龙王庙行宫（清代皇家祭祀建筑，运河文化重要遗存）,宿迁动物园（苏北最大动物园，动物种类丰富，亲子互动）/宿迁欢乐谷（大型游乐园，过山车等刺激项目，家庭娱乐）,雪枫公园（纪念彭雪枫将军的红色主题公园，城市地标）/古黄河水景公园（沿古黄河而建，城市生态廊道，休闲健身）,洋河酒厂文化旅游区（中国白酒名企，酒文化体验，酿酒工艺展示）/双沟酒文化旅游区（千年酿酒古镇，酒文化博览，传统酿造技艺）,,,,妈祖文化园（内陆最大妈祖庙，闽台文化特色建筑）,,江苏省,suqianshi,sqs,33.963232,118.275198
南京市,玄武湖/紫金山/栖霞山,中山陵（中国近代民主革命先行者孙中山先生的陵寝）/夫子庙（南京历史文化名片）/明孝陵（世界文化遗产）/南京博物院（中国三大博物馆之一）/总统府（中国近代历史重要遗址）,红山森林动物园/南京海底世界,南京长江大桥/老门东/南京1912街区,南京大牌档（盐水鸭、狮子头等）/夫子庙美食街（鸭血粉丝汤、秦淮八绝等）,,汤山温泉（中国四大温泉疗养区之一）,,牛首山文化旅游区（佛教名山）/栖霞寺（江南佛教三论宗的发源地）,,江苏省,nanjingshi,njs,32.05957,118.796682
南昌市,梅岭国家森林公园（南昌市郊最大森林公园，以奇石、瀑布、竹林和避暑胜地著称）/天香园（城市湿地生态景区，以野生鹭鸟栖息地和盆景艺术闻名）/凤凰沟风景区（国家级生态农业示范园，以万亩茶园和樱花谷景观著称）/艾溪湖湿地公园（城市生态湿地公园，拥有环湖绿道和候鸟观测点）,滕王阁（江南三大名楼之一，因王勃《滕王阁序》闻名，展现唐代建筑风格与赣文化）/八一起义纪念馆（中国军史第一馆，全面展示南昌起义历史事件的红色旅游经典景区）/江西省博物馆（全省最大综合性博物馆，馆藏商代青铜器、景德镇瓷器等珍贵文物）/万寿宫历史文化街区（复原明清商贸风貌的街区，集道教文化、赣派建筑、非遗展示于一体）,南昌动物园（江西省规模最大动物园，拥有大熊猫馆等特色展区）/南昌融创乐园（大型主题游乐园，拥有世界级过山车等60余项游乐设施）,秋水广场（亚洲最大音乐喷泉群，现代都市景观与赣江风光结合的标志性广场）/南昌之星摩天轮（世界第三高摩天轮，可俯瞰赣江两岸城市全景）/699文化创意园（由老厂房改造的文艺街区，汇聚创意店铺、艺术展览和网红打卡点）,绳金塔美食街（集江西特色小吃与民俗文化于一体的百年美食街区）,,,,佑民寺（南昌现存唯一完整佛教寺院，始建于南朝梁代的千年古刹）,,江西省,nanchangshi,ncs,28.682892,115.858198
上饶市,三清山（世界自然遗产）/婺源篁岭（梯田花海与古村落）/龟峰（丹霞地貌）/鄱阳湖国家湿地公园（亚洲最大湿地公园）/灵山（花岗岩峰林地貌）/望仙谷（悬崖仙侠小镇）/铜钹山（丹霞地貌与原始森林）/石城红枫景区（秋季枫叶）/婺源卧龙谷（瀑布群与原始森林）/婺源严田古樟（千年古樟树与田园风光）,婺源江湾景区（千年徽派古村落）/鹅湖书院（中国古代四大书院之一）/上饶集中营旧址（全国重点文物保护单位）/婺源李坑（徽派古村落）/婺源彩虹桥（中国历史最悠久的廊桥之一）/婺源熹园（朱子文化与徽派园林）/婺源思溪延村（明清商宅群落）,,,,,葛仙村度假区（道教文化主题山水度假胜地）,,,,江西省,shangraoshi,srs,28.454863,117.943433
景德镇市,昌南湖湿地公园（城市生态湿地景观，湖中建有巨型青花瓷灯雕塑‘昌南之眼’）/洪岩仙境（喀斯特溶洞奇观，洞内钟乳石形态各异，地下河贯穿其中）,瑶里古镇（保存完好的明清古建筑群，被誉为‘瓷之源、茶之乡、林之海’）/古窑民俗博览区（展示景德镇千年制瓷历史与工艺的活态博物馆，可体验传统制瓷流程）/御窑厂国家考古遗址公园（明清皇家御用瓷器烧制遗址，出土大量珍贵官窑瓷器残片）/景德镇中国陶瓷博物馆（中国首家大型陶瓷专题博物馆，收藏历代陶瓷珍品3万余件）/浮梁古县衙（江南唯一保存完整的清代五品县衙建筑群，有‘中国第一县衙’之称）,,三宝国际陶艺村（由废弃老厂房改造的陶艺创意聚落，融合现代艺术与传统陶瓷文化）/陶溪川文创街区（工业遗产改造的时尚艺术区，夜景灯光与红砖建筑相映成趣）,,,得雨生态园（集生态农业观光、养生度假于一体的综合性园区）,冷水尖景区（登山徒步胜地，山顶可俯瞰景德镇全景，春季杜鹃花海尤为壮观）,,高岭·中国村（以茶文化为主题的田园综合体，定期举办采茶节等民俗活动）,江西省,jingdezhenshi,jdzs,29.268945,117.178222
赣州市,三百山（东江源头）/陡水湖（赣南最大人工湖）/阳岭国家森林公园/上堡梯田（中国最大客家梯田）/汉仙岩（丹霞地貌）,通天岩（江南第一石窟）/赣州古城墙（宋代砖城墙）/八境台（北宋古城楼）/郁孤台（辛弃疾词作地）/瑞金共和国摇篮景区（中华苏维埃诞生地）,赣州森林动物园（赣南最大动物园）/赣州方特东方欲晓（红色文化主题乐园）,赣州浮桥（宋代古浮桥）/赣州万象城（最大商业综合体）,灶儿巷（明清古巷美食）,,丫山风景区（森林度假温泉养生）,九连山国家森林公园（徒步探险）,马祖岩（佛教禅宗圣地）,客家文化城（客家民俗非遗）,江西省,ganzhoushi,gzs,25.830694,114.933546
吉安市,井冈山（中国革命的摇篮，拥有丰富的自然景观和红色文化，森林覆盖率高，空气清新。）/武功山（高山草甸景观独特，云海日出美不胜收。）/蜀口洲（赣江中的绿洲，生态环境优美，适合休闲度假。）,白鹭洲书院（江西古代四大书院之一，历史悠久，文化底蕴深厚。）/渼陂古村（保存完好的明清古村落，建筑风格独特，文化氛围浓厚。）/吉州窑遗址（中国古代著名瓷窑遗址，瓷器制作工艺精湛。）/钓源古村（千年古村，欧阳修后裔聚居地，建筑古朴典雅。）/文天祥纪念馆（展示文天祥生平事迹的纪念馆，爱国主义教育基地。）,,庐陵文化生态园（展示庐陵文化的综合性公园，环境优美，设施齐全。）/天祥公园（纪念民族英雄文天祥的公园，环境优美，文化氛围浓厚。）,,,汤湖温泉（天然温泉，水质优良，具有养生保健功效。）,,青原山（佛教禅宗青原派祖庭，山清水秀，寺庙众多。）,,江西省,jianshi,jas,27.090763,114.966567
抚州市,大觉山（5A）/麻姑山,流坑古村/王安石纪念馆/汤显祖纪念馆/抚州文昌里,,梦湖/拟岘台,资溪面包文化园,,法水温泉,军峰山,疏山寺,南丰傩舞（非遗）,江西省,fuzhoushi,fzs,27.949217,116.358181
宜春市,明月山（以奇峰险壑、温泉飞瀑、珍稀动植物和禅宗文化为主要特色，拥有"云谷飞瀑"等壮丽景观。）/三爪仑国家森林公园（原始森林覆盖率高，空气清新，有"天然氧吧"之称，适合徒步和生态旅游。）/酌江溶洞（喀斯特地貌溶洞，洞内钟乳石千姿百态，地下河清澈见底，景观奇特。）/宜春市花博园（以花卉展览为主题的大型公园，四季花开不断，景色宜人。）,宜春禅都文化博览园（集中展示禅宗文化，包括禅意建筑、文化展览和禅修体验，是了解中国禅宗历史的重要场所。）/宜春市博物馆（展示宜春历史文化和自然遗产，包括青铜器、陶瓷和民俗文物等。）/万载古城（保存完好的明清古建筑群，展现了赣西传统民居风格和历史文化。）/铜鼓秋收起义纪念馆（红色旅游景点，纪念秋收起义历史事件，展示相关文物和史料。）/宜春市禅博园（展示禅宗文化的主题公园，结合园林艺术和禅意体验。）,宜春市科技馆（互动科技展览馆，适合亲子游和科普教育。）/宜春市动物园（展示多种动物，适合家庭游玩和儿童教育。）,宜春鼓楼（明代古建筑，是宜春市的历史地标，夜晚灯光璀璨，具有浓厚的历史文化氛围。）/宜春体育中心广场（现代化城市广场，是市民休闲娱乐和举办大型活动的场所。）/宜春市人民公园（城市中心绿地，环境优美，适合散步和休闲。）/宜春市文化艺术中心（现代化文化建筑，举办各类文艺演出和展览。）,宜春市美食街（集中了宜春本地特色小吃和餐饮，是品尝地方美食的好去处。）,,温汤镇（以富硒温泉闻名，温泉水质优良，具有显著的养生保健功效，是著名的温泉疗养胜地。）/天沐温泉度假村（高端温泉度假村，结合自然景观与温泉疗养，提供多种温泉泡池和休闲设施。）,,仰山栖隐禅寺（历史悠久的佛教寺庙，环境清幽，是禅宗重要道场之一。）/樟树阁皂山（道教名山，被誉为"天下第三十三福地"，山上有众多道教宫观和自然景观。）,,江西省,yichunshi,ycs,27.815743,114.416785
鹰潭市,龙虎山（世界自然遗产）/仙水岩/象鼻山/泸溪河,上清古镇/鹰潭博物馆,,鹰潭公园,,,,,天师府/正一观,,江西省,yingtanshi,yts,28.272537,117.042173
萍乡市,武功山（以高山草甸、云海日出和瀑布群闻名，是徒步和摄影爱好者的天堂）/孽龙洞（典型的喀斯特溶洞，洞内钟乳石形态各异，被誉为"地下艺术宫殿"）/杨岐山（佛教名山，以奇峰怪石和古刹闻名，是杨岐宗的发源地）/萍水湖湿地公园（城市湿地公园，以湖泊和湿地生态为特色，适合休闲散步）,安源路矿工人运动纪念馆（中国工人运动的发源地之一，展示了安源路矿工人运动的历史）/萍乡孔庙（始建于宋代，是江西省保存较为完整的孔庙之一）/萍乡市博物馆（展示了萍乡的历史文化和自然资源，包括恐龙化石和青铜器等）,,秋收起义广场（纪念秋收起义的红色文化广场，是萍乡市的地标之一）,,,武功山温泉（富含矿物质的天然温泉，具有疗养和放松身心的功效）,,杨岐山（佛教名山，以奇峰怪石和古刹闻名，是杨岐宗的发源地）,萍乡傩文化园（展示了萍乡古老的傩文化，包括傩面具和傩舞表演）,江西省,pingxiangshi,pxs,27.658373,113.887083
新余市,仙女湖（江西省著名的湖泊风景区，湖中有众多岛屿，风景如画，被誉为"人间仙境"）/孔目江湿地公园（城市湿地公园，拥有丰富的生态资源，是观鸟和休闲的好去处）/仰天岗森林公园（森林覆盖率高，空气清新，是徒步和登山的好地方）/百丈峰（山峰陡峭，森林茂密，是户外运动和探险的理想之地）/洪阳洞（喀斯特溶洞景观，洞内钟乳石形态各异，颇具观赏价值）/分宜县大岗山（山势雄伟，植被丰富，是登山和徒步的热门地点）,罗坊会议纪念馆（纪念1930年罗坊会议的重要历史场所，展示了丰富的革命历史资料）/新余市博物馆（展示新余历史文化和自然资源的综合性博物馆）/魁星阁（古代建筑，历史悠久，是新余的文化地标之一）,,抱石公园（以著名画家傅抱石命名，园内有傅抱石纪念馆和优美的园林景观）/新余市体育中心（现代化的体育设施，是市民健身和举办大型活动的场所）/新余市文化广场（城市中心广场，经常举办各类文化活动和演出）,,,,百丈峰（山峰陡峭，森林茂密，是户外运动和探险的理想之地）/仰天岗森林公园（森林覆盖率高，空气清新，是徒步和登山的好地方）,,,江西省,xinyushi,xys,27.817808,114.917346
九江市,庐山（中国四大避暑胜地之一，以雄、奇、险、秀闻名，拥有丰富的自然景观和文化遗迹。）/鄱阳湖（中国第一大淡水湖，冬季是观鸟胜地，有"白鹤王国"之称。）/石钟山（因苏轼《石钟山记》闻名，山水交融，地质奇特。）,白鹿洞书院（中国古代四大书院之首，宋代朱熹曾在此讲学。）/浔阳楼（因《水浒传》宋江题诗而闻名，是长江沿岸名楼。）,,烟水亭（甘棠湖中古建筑，相传为周瑜点将台旧址。）/九江长江大桥（长江上首座公铁两用桥，夜景灯光秀壮观。）/庐山恋电影院（全球唯一常年放映同一部电影《庐山恋》的影院。）,九江茶市（江西最大茶叶集散地，可品庐山云雾茶等名茶。）/庐山云雾茶（中国十大名茶之一，因庐山多雾得名，清香持久。）,,庐山温泉（富含矿物质的天然温泉，疗养度假胜地。）,庐山西海（湖岛星罗棋布，适合水上运动、环湖骑行。）,东林寺（佛教净土宗祖庭，1600多年历史，寺内古树参天。）,星子金星砚（国家级非遗，传统砚台制作技艺展示。）/庐山国际爱情电影周（以《庐山恋》为主题的电影文化庆典。）,江西省,jiujiangshi,jjs,29.662117,115.952914
香港,南丫岛（香港第三大岛，以渔村风情、徒步径和海鲜闻名）/香港湿地公园（国际重要湿地保护区，观鸟和自然生态教育的理想场所）/长洲岛（离岛风情浓郁，以太平清醮节庆和海鲜小吃著称）,香港历史博物馆（全面展示香港自然历史和人文历史的综合性博物馆）/大澳渔村（香港现存最著名的渔村，保留传统棚屋和水上人家风貌）,香港迪士尼乐园（亚洲第二座迪士尼乐园，融合中国文化与迪士尼元素）/海洋公园（集海洋动物展览、游乐设施和表演于一体的综合主题公园）,太平山顶（俯瞰维多利亚港和香港全景的绝佳地点，夜景尤为著名）/维多利亚港（世界三大天然良港之一，夜景灯光秀'幻彩咏香江'是标志性景观）/星光大道（仿照好莱坞星光大道，展示香港电影明星手印和雕像）/香港文化中心（香港主要表演艺术场地，建筑外观极具现代感）,庙街夜市（香港最具代表性的夜市，汇集地道小吃和特色商品）/兰桂坊（香港著名的酒吧和餐饮区，夜生活文化丰富）,浅水湾（香港最具代表性的泳滩之一，沙细水清，周边多高档住宅）/赤柱（充满异国风情的海滨小镇，以市集、美利楼和海滩著称）/西贡（以海鲜餐馆和离岛游闻名，是潜水及水上活动热门地）,,龙脊（亚洲最佳徒步径之一，可俯瞰石澳、大浪湾等壮丽海景）,大屿山天坛大佛（世界最高的户外青铜坐佛，位于宝莲禅寺旁）/黄大仙祠（香港最著名的庙宇之一，以'有求必应'的签文灵验著称）,,香港特别行政区,xianggang,xg,22.311704,114.173332
